Project_name,project_by,location,Super Built Area,Price Range,Price Per Sq Ft,Description,Project Status,possession_date,Bedrooms,units,towers,unit_price,rera_no,lat_lng
"
Solaris
",Loharuka Group and Disha Group,"
in Bannerghatta Road
, Bangalore

 
","1204
sqft","₹
72.2 Lac","₹
6000 per
sqft","
Description:


SOLARIS an abode of unmatched lifestyle & luxury is an address of 365 Super Luxury homes thoughtfully spread over 24 storeys of its 4 blocks. SOLARIS glorifies the identity of the privileged few by renovating your story into  



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",365 Units ,4 Towers ,"(2 BHK Flat->1090 sqft), (2 BHK Flat->1113 sqft), (2 BHK Flat->1190 sqft), (2 BHK Flat->1204 sqft), (2 BHK Flat->1228 sqft), (2 BHK Flat->1229 sqft), (3 BHK Flat->1525 sqft), (3 BHK Flat->1548 sqft), (3 BHK Flat->1550 sqft), (3 BHK Flat->1682 sqft), (3 BHK Flat->1689 sqft), (3 BHK Flat->1698 sqft), (3 BHK Flat->1720 sqft), (3 BHK Flat->1729 sqft) ",,"lat=13.007085,longt=77.73972"
"
M1 Aureus
",M1 Advisory,"
in Whitefield
, Bangalore

 
","2750
sqft","₹
1.99 Cr","₹
7,236 per
sqft","
Description:


Situated on Bangalore high-growth corridor, M1 Aureus offers ultra luxurious villas that have been meticulously designed to perfection and features a basement with four car park, personal elevator and branded fittings and  



",Under Construction,"
Possession in 2018
","
5 BHK
Villa

",29 Units ,,"(4 BHK Villa->3156 sqft), (4 BHK Villa->2570 sqft), (4 BHK Villa->4156 sqft), (4 BHK Villa->5056 sqft), (4 BHK Villa->4590 sqft), (5 BHK Villa->2750 sqft), (5 BHK Villa->3628 sqft), (5 BHK Villa->3754 sqft), (5 BHK Villa->3252 sqft), (5 BHK Villa->4679 sqft), (5 BHK Villa->5576 sqft) ",,"lat=12.975038,longt=77.74502"
"
Manya Hi Living
",Manya Group,"
in Electronics City Phase 1
, Bangalore

 
","1425
sqft","₹
49.8 Lac","₹
3,495 per
sqft","
Description:


This is a well apppointed Unit situated in Manya Hi Living, Electronics City Phase 1. Approx 49. 8 Lac is the expected price for the Unit. Offering 3 bedroom and 3 bathroom, the Unit is Unfurnished. The well planned Unit has  



",Ready To Move,"
Possession in 2018
","
3 BHK
Apartment

",100 Units ,2 Towers ,"(2 BHK Flat->1036 sqft), (3 BHK Flat->1300 sqft), (3 BHK Flat->1425 sqft) ",,"lat=13.007085,longt=77.73972"
"
Balaji Ashirvaad Elite
",Savitri Ashirvaad Buildtech Ltd.,"
in Bannerghatta Road
, Bangalore

 
","1410
sqft","₹
61.4 Lac","₹
4,353 per
sqft","
Description:


Balaji Ashirvaad Elite Apartments built at Gottigere, Bangalore. The floor plan of Balaji Ashirvaad Elite presents the most exciting and dynamic floor plans designed for a lavish lifestyle. The master plan of Balaji  



",Under Construction,"
Possession in 2018
","
3 BHK
Apartment

",160 Units ,2 Towers ,"(2 BHK Flat->1120 sqft), (2 BHK Flat->1125 sqft), (2 BHK Flat->1135 sqft), (2 BHK Flat->1140 sqft), (2 BHK Flat->1225 sqft), (2 BHK Flat->1245 sqft), (2 BHK Flat->1255 sqft), (2 BHK Flat->1260 sqft), (2 BHK Flat->1275 sqft), (2 BHK Flat->1300 sqft), (2 BHK Flat->1305 sqft), (3 BHK Flat->1295 sqft), (3 BHK Flat->1300 sqft), (3 BHK Flat->1410 sqft), (3 BHK Flat->1415 sqft), (3 BHK Flat->1430 sqft), (3 BHK Flat->1440 sqft), (3 BHK Flat->1455 sqft), (3 BHK Flat->1470 sqft), (3 BHK Flat->1510 sqft), (3 BHK Flat->1520 sqft), (3 BHK Flat->1525 sqft) ",,"lat=13.007085,longt=77.73972"
"
The Avenue
",Ezzy Group,"
in Whitefield
, Bangalore

 
","3596
sqft","₹
2.30 Cr","₹
6,409 per
sqft","
Description:


Ezzy The Avenue is a stunning collection of boutique residences, individually-designed to achieve the highest standard of luxury living. It is strategically located in the heart of Whitefield, Bangalore. The 36 luxury  



",Ongoing,"
Possession in 2018
","
3 BHK
Apartment

",36 Units ,1 Towers ,"(3 BHK Flat->3596 sqft), (3 BHK Flat->4010 sqft), (4 BHK Flat->4595 sqft) ",,"lat=12.975038,longt=77.74502"
"
Habitat Crest
",Pragnyacrest Properties Pvt. Ltd,"
in Whitefield
, Bangalore

 
","2900
sqft","₹
2.33 Cr","₹
8,056 per
sqft","
Description:


A home that is free from the clutter of the modern-day world like traffic, pollution etc. and is enveloped in luxury is what we provide you with at Habitat Crest. 



",Ready To Move,"
Possession in 2018
","
3 BHK
Villa

",150 Units ,30 Towers ,(3 BHK Villa->2900 sqft) ,,"lat=12.975038,longt=77.74502"
"
S2 Avantikaa
",S2 Housing,"
in Sarjapur Road
, Bangalore

 
","1178
sqft","₹
45.8 Lac","₹
3,885 per
sqft","
Description:


Privileged Club House Spacious planning with more open area High speed lifts for vertical transportation Water treatment plant Garbage Chute on each floor Hydro-pneumatic pumping system to ensure adequate pressure  



",Ready To Move,"
Possession in 2018
","
2 BHK
Apartment

",99 Units ,1 Towers ,"(2 BHK Flat->1178 sqft), (2 BHK Flat->1214 sqft), (2 BHK Flat->1247 sqft), (2 BHK Flat->1269 sqft), (3 BHK Flat->1445 sqft), (3 BHK Flat->1450 sqft) ",,"lat=13.007085,longt=77.73972"
"
Ahad Euphoria
",Ahad Builders Pvt. Ltd,"
in Sarjapur Road
, Bangalore

 
","1522
sqft","₹
77.0 Lac","₹
5,059 per
sqft","
Description:


This is a Home in Ahad Euphoria, Sarjapur Road. 73. 1 Lac is the expected price of Home. Offering 3 bedroom and 3 spacious bathrooms, the Home is Unfurnished. The well planned Home offers latest facilities such as like  



",Ongoing,"
Possession in 2018
","
3 BHK
Apartment

",685 Units ,1 Towers ,"(1 BHK Flat->530 sqft), (3 BHK Flat->1378 sqft), (3 BHK Flat->1384 sqft), (3 BHK Flat->1406 sqft), (3 BHK Flat->1522 sqft), (3 BHK Flat->1525 sqft), (3 BHK Flat->1549 sqft), (3 BHK Flat->1557 sqft), (3 BHK Flat->1565 sqft), (4 BHK Flat->1862 sqft) ",,"lat=13.007085,longt=77.73972"
"
Republic of Whitefield
",DivyaSree Developers,"
in Whitefield
, Bangalore

 
","1724
sqft","₹
1.02 Cr","₹
5916 per
sqft","
Description:


Republic of Whitefield- Homes for the people, by the people true to its name, is the place where tranquillity meets greenery and opulence meets convenience, Republic of Whitefield greets you with open arms. Equipped with the  



",Ready To Move,"
Possession in 2018
","
3 BHK
Apartment

",1300 Units ,13 Towers ,"(2 BHK Flat->735 sqft), (2 BHK Flat->1032 sqft), (2 BHK Flat->1047 sqft), (3 BHK Flat->1397 sqft), (3 BHK Flat->1724 sqft) ",,"lat=12.975038,longt=77.74502"
"
The Watergrove
",S2 Homes India Pvt Ltd,"
in Electronic City
, Bangalore

 
","1080
sqft","₹
39.8 Lac","₹
3,688 per
sqft","
Description:


Patios... extended living with rays of morning sun Green terraces.. define eco living Clubhouse, Swimming pool, Departmental Store, Yoga Terrace, Childrens Play Area, Health Club, Atm & more. Vastu Compliant One  



",Ongoing,"
Possession in 2018
","
2 BHK
Apartment

",98 Units ,4 Towers ,"(2 BHK Flat->1080 sqft), (2 BHK Flat->1112 sqft), (3 BHK Flat->1225 sqft), (3 BHK Flat->1391 sqft), (3 BHK Flat->1819 sqft), (3 BHK Flat->1978 sqft) ",,"lat=13.007085,longt=77.73972"
"
Sowparnika Tharangini
",Sowparnika Projects & Infrastructure,"
in Sarjapur Road
, Bangalore

 
","946
sqft","₹
25.5 Lac","₹
2,696 per
sqft","
Description:


This Apartment has an area of 946 Sq-ft is on second floor of 3 levels. Granite is used on floors. There is space for car parking. With 2 room along with 2 bathrooms, the Apartment is Unfurnished. Each tower has 2 lifts.  



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",160 Units ,2 Towers ,"(2 BHK Flat->868 sqft), (2 BHK Flat->946 sqft), (2 BHK Flat->952 sqft), (2 BHK Flat->974 sqft), (2 BHK Flat->1014 sqft), (3 BHK Flat->1249 sqft), (3 BHK Flat->1252 sqft), (3 BHK Flat->1322 sqft), (3 BHK Flat->1364 sqft) ",,"lat=13.007085,longt=77.73972"
"
Assetz Lifestyle 63 Degree East
",Assetz Lifestyle,"
in Sarjapur Road
, Bangalore

 
","691
sqft","₹
41.7 Lac","₹
6,033 per
sqft","
Description:


Assetz 63 Degree East is the brand new creation by the reputed real estate builder Assetz Lifestyle. The accomplished architectonics in this project is being done by using the latest technologies and hence, is considered to  



",Under Construction,"
Possession in 2018
","
1 BHK
Apartment

",1608 Units ,5 Towers ,"(1 BHK Flat->685 sqft), (1 BHK Flat->691 sqft), (2 BHK Flat->984 sqft), (3 BHK Flat->1157 sqft) ",,"lat=13.007085,longt=77.73972"
"
Sathya Sai Paradise
",Om Sai Developers,"
in Whitefield
, Bangalore

 
","1110
sqft","₹
34.6 Lac","₹
3,117 per
sqft","
Description:


This is a well apppointed beautiful Unit in Sathya Sai Paradise, Whitefield. Featuring 2 bedroom along with 2 bathrooms, the Unit is Unfurnished. The Unit is on second level of the tower of 4 and has an area of 1110 Sq-ft.  



",Ready To Move,"
Possession in 2018
","
2 BHK
Apartment

",28 Units ,1 Towers ,"(2 BHK Flat->1035 sqft), (2 BHK Flat->1050 sqft), (2 BHK Flat->1110 sqft) ",,"lat=12.975038,longt=77.74502"
"
Hara Vijaya Heights
",Vijaya Enterprises,"
in Kanakapura Road
, Bangalore

 
","1220
sqft","₹
60.0 Lac","₹
4918 per
sqft","
Description:


65% open space, centre to all major schools, colleges, malls. 



",Ongoing,"
Possession in 2018
","
2 BHK
Apartment

",242 Units ,3 Towers ,"(2 BHK Flat->975 sqft), (2 BHK Flat->1100 sqft), (2 BHK Flat->1125 sqft), (2 BHK Flat->1180 sqft), (2 BHK Flat->1220 sqft), (3 BHK Flat->1525 sqft), (3 BHK Flat->1535 sqft), (3 BHK Flat->1610 sqft), (3 BHK Flat->1625 sqft), (3 BHK Flat->1630 sqft) ",,"lat=13.007085,longt=77.73972"
