project_name,project_by,location,Build_Up_Area,Unit_Types,Price,about_project,Project status,possesion,launched,rera_no
Lotus Lake View,By  in Brookefield,Brookefield,1450 - 1500 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														66.33L  - 68.62L 							",,Ready-to-move,,,
Synapse Nest,By Neeha Property Markerters in Brookefield,Brookefield,941 - 1004 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														45.87L  - 48.94L 							",,Ready-to-move,,, REGISTRATION NO. 
Sai Purvi Grand,By Sai Purvi Developers in Brookefield,Brookefield,1089 - 1228 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														56.35L  - 66.31L 							",,Ready-to-move,,,
Elegant Residency,By  in Brookefield,Brookefield,1200 - 1300 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														54.90L  - 59.47L 							",,Ready-to-move,,,
Meghana Vaikuntam,By Meghana Homes Pvt Ltd in Brookefield,Brookefield,1240 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Home Space O2,By Home Space Private Limited in Brookefield,Brookefield,1100 - 1210 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														59.40L  - 65.34L 							",,Ongoing,Possession: Jun-2018,,
BM Revira,By BM Developers in Brookefield,Brookefield,1324 - 1504 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														50.85L  - 57.76L 							",,Ready-to-move,,,
Sterling Shalom Phase II,By Sterling Developers in Brookefield,Brookefield,1728 - 2610 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.03Cr  - 1.56Cr 							",,Ready-to-move,,,
Citilights Knightsbridge,By Citilights Estates Pvt Ltd in Brookefield,Brookefield,1487 - 1855 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.33Cr  - 1.66Cr 							",,Ready-to-move,,,
Vars Camelia,By Vars Builders Pvt. Ltd. in Brookefield,Brookefield, sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Vars Carlton Court,By Vars Builders Pvt. Ltd. in Brookefield,Brookefield,1600 - 1700 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														76.80L  - 81.60L 							",,Ready-to-move,,,
Kempton Park,By Elite Properties in Brookefield,Brookefield,2000 - 2400 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														87L  - 1.04Cr 							",,Ready-to-move,,,
Virinchi Residency,By  in Brookefield,Brookefield,1955 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														71.84L 							",,Ready-to-move,,,
Saranya Enclave,By Saranya Constructions in Brookefield,Brookefield,1165 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														60.28L 							",,Ready-to-move,,,
Arattukulam Divya Jyothi Brook Field,By Aratt Builder in Brookefield,Brookefield, sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
V J Residency,By  in Brookefield,Brookefield, sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Rohan Mihira Apartment,By Rohan Builders India Pvt Ltd in Brookefield,Brookefield,1658 - 1712 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														98.99L  - 1.02Cr 							",,Ready-to-move,,,
Vars Rose Mont,By Vars Builders Pvt. Ltd. in Brookefield,Brookefield,1685 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														61.92L 							",,Ready-to-move,,,
Shree Gokulam Residency,By  in BTM Layout,BTM Layout,450 sq.ft,"
								1 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Fortuna Gem,By Fortuna Constructions India Pvt Ltd in Bilekahalli,Bilekahalli,1155 - 1164 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														50.24L  - 50.63L 							",,Ready-to-move,,,
Comfort Flora,By Comfort Shelters Private Limited in Bilekahalli,Bilekahalli,1510 - 2095 sq.ft,"
								3 BHK Apartment
								Availability*: Sold out
							","
														 
														84.93L  - 1.17Cr 							",,Ready-to-move,,,
SMR Devmuk,By SMR Homes Pvt Ltd in Bilekahalli,Bilekahalli,1726 - 1785 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														91.90L  - 95.05L 							",,Ready-to-move,,,
Pariwar Pride,By Pariwar Housing in Bilekahalli,Bilekahalli,1517 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Chartered Samskruti,By Chartered Housing (P) Ltd in Bilekahalli,Bilekahalli,1400 - 1600 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														71.40L  - 81.60L 							",,Ready-to-move,,,
Fortuna Glade,By Fortuna Constructions India Pvt Ltd in Bilekahalli,Bilekahalli,1406 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														80.14L 							",,Ready-to-move,,,
Raj Paradise,By S N N Builders Pvt Ltd in Bilekahalli,Bilekahalli,1475 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														90.71L 							",,Ready-to-move,,,
Balaji Residency,By  in Bilekahalli,Bilekahalli,1140 - 1590 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														50.67L  - 70.67L 							",,Ready-to-move,,,
Janhavi Meadows,By Janhavi Constructions in Bilekahalli,Bilekahalli,1411 - 1719 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														60.32L  - 73.48L 							",,Ready-to-move,,,
Aashrayaa Marvel,By Aashrayaa Homes in Bilekahalli,Bilekahalli,1030 - 1116 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														46.35L  - 50.22L 							",,Ready-to-move,,,
Surabhi Apartment,By Kolte Patil Developers Ltd in Bilekahalli,Bilekahalli,1570 - 1659 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														81.24L  - 85.85L 							",,Ready-to-move,,,
Nelae Apartments,By  in Bilekahalli,Bilekahalli, sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
NSR Greens,By NSR Projects in Bilekahalli,Bilekahalli,1390 - 1660 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														48.65L  - 58.10L 							",,Ready-to-move,Possession: Jan-2016,,
Hari Royal Palace ,By Hari Builders in Bilekahalli,Bilekahalli,912 - 1089 sq.ft,"
								2 BHK Apartment
								Availability*: Sold out
							","
														 
														36.93L  - 44.10L 							",,Ready-to-move,,,
KVR Iris,By KVR HOLDINGS in Bilekahalli,Bilekahalli,1350 - 1660 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														48.60L  - 59.76L 							",,Ready-to-move,,,
Parivar Shanbhag,By Pariwar Housing in Bilekahalli,Bilekahalli, sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Divya Panchami Apartments,By Divya Builders in Bilekahalli,Bilekahalli,1100 - 1350 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														40.42L  - 49.61L 							",,Ready-to-move,,,
Kolte Patil Shubha,By Kolte Patil Developers Ltd in Bilekahalli,Bilekahalli,1000 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														43L 							",,Ready-to-move,,,
Mylaram Apartments,By  in Bilekahalli,Bilekahalli, sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Aksayaa Apartments,By  in Uttarahalli,Uttarahalli, sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Om Sri Residency 2,By Om Srri Developers in Uttarahalli,Uttarahalli,1935 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														69.66L 							",,Ready-to-move,,,
Habitat Ochre,By Habitat Ventures in Uttarahalli,Uttarahalli,1500 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
MBM Omkar Heights,By MBM Developers in Uttarahalli,Uttarahalli,1360 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														43.24L 							",,Ready-to-move,,,
Shravanthi Flora,By Shravanthi Group in Uttarahalli,Uttarahalli,1080 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Anandagokula Apartments,By  in Uttarahalli,Uttarahalli, sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
VVR Sunrise,By  in Uttarahalli,Uttarahalli,1055 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														32.44L 							",,Ready-to-move,,,
Siri Harmony,By Siri Homes in Uttarahalli,Uttarahalli,1400 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														47.25L 							",,Ready-to-move,,,
Matha Pramodini Apartments,By  in Uttarahalli,Uttarahalli,1900 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Panchmukhi Pride,By Panchmukhi Infrastructure in Uttarahalli,Uttarahalli,1495 - 1575 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														59.42L  - 62.60L 							",,Ready-to-move,,,
Astro Rosewood Regency,By Astro Builders & Developers in Sarjapur Road,Sarjapur Road,3380 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														1.97Cr 							",,Ready-to-move,,,
Aaspire Heights,By Sai Sai Ventures in Marathahalli,Marathahalli,1625 - 1755 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														74.34L  - 80.29L 							",,Ready-to-move,,,
TGS Florence,By TGS Constructions Pvt Ltd. in Whitefield,Whitefield,1275 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														22.95L 							",,Ready-to-move,Possession: Feb-2016,,
Purnima Elite,By Purnima Build Tech in Electronic City Phase I,Electronic City Phase I,1175 - 1284 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														31.43L  - 34.34L 							",,Ready-to-move,Possession: Dec-2015,,
Dreamz Siddhi,By Dreamz Infra India Pvt Ltd in Electronic City Phase I,Electronic City Phase I,1300 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														19.50L 							",,Ready-to-move,,,
Aakruti Amity ,By Aakruti Group in Electronic City Phase I,Electronic City Phase I,1475 - 1720 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														56.05L  - 65.36L 							",,Ongoing,Possession: Mar-2018,,
Dreamz Sree Balaji Nilayam,By Dreamz Infra India Pvt Ltd in Electronic City Phase I,Electronic City Phase I,805 - 895 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ongoing,,,
Dreamz Balaji Pride,By Dreamz Infra India Pvt Ltd in Electronic City Phase I,Electronic City Phase I,1200 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ongoing,,,
Keerthi Flora,By Keerthi Estates Pvt Ltd in Brookefield,Brookefield,1600 - 1630 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1Cr  - 1.02Cr 							",,Ready-to-move,,,
Yashaswinii Meadoows,By Yashaswini Builder in Hennur Road,Hennur Road,1845 - 2344 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														77.49L  - 98.44L 							",,Ready-to-move,,,
Swasthik Sri Balaji Sannidhi,By Swasthik Properties in Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,1558 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														57.64L 							",,Ready-to-move,Possession: Nov-2015,,
Swasthik Global Naveen,By Swasthik Properties in Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,1340 - 1440 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														70.99L  - 75.96L 							",,Ready-to-move,,,
Dhathri Elite,By Dhathri Builders in Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,1420 - 1440 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														46.86L  - 47.52L 							",,Ready-to-move,Possession: May-2016,,
i1 SLR Comforts,By i1 Properties Pvt Ltd in Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,1320 - 1630 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														44.22L  - 54.60L 							",,Ready-to-move,Possession: Dec-2015,,
Aarushs Arya Apartment,By Aarush Constructions in Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,1200 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														48L 							",,Ready-to-move,,,
Vaastu Hill View II,By Vaastu Structures Pvt Ltd in Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,1800 - 1900 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														72L  - 76L 							",,Ready-to-move,,,
Vaastu Lavender Phase II,By Vaastu Structures Pvt Ltd in Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,1257 - 1741 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														39.69L  - 54.98L 							",,Ready-to-move,,,
Sukhashaya Apartments,By  in Basavanagudi,Basavanagudi, sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Shankaramrutam Apartments,By  in Basavanagudi,Basavanagudi, sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
RV Apartment,By  in Vijayanagar,Vijayanagar,1175 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														70L 							",,Ready-to-move,,,
Elegant Pavilion,By Elegant Properties in Frazer Town,Frazer Town,1500 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.26Cr 							",,Ready-to-move,,,
Soundarya Devi,By Soundarya Constructions in Malleshwaram,Malleshwaram, sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Manijavam Apartment,By  in Banashankari,Banashankari,2290 - 2338 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.70Cr  - 1.73Cr 							",,Ready-to-move,,,
Sai Srinivasa Hills,By  in Banashankari,Banashankari,1090 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Ivy Cottage,By  in Kaval Byrasandra,Kaval Byrasandra,1250 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Swarnashraya Apartments,By  in Kaval Byrasandra,Kaval Byrasandra, sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Kruthika Apartments,By  in Vijayanagar,Vijayanagar, sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Adarsh Manor,By Adarsh Developers in Basavanagudi,Basavanagudi, sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Heritage Residency-II,By Manito Builders Pvt Ltd in Kaval Byrasandra,Kaval Byrasandra,525 sq.ft,"
								1 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Sukoon Apartments,By  in Basavanagudi,Basavanagudi, sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Satwis Vielle,By Satwi Infra in Horamavu,Horamavu,1330 - 1535 sq.ft,"
								2.5 BHK Apartment
								Availability*: Sold out
							","
														 
														59.18L  - 68.30L 							",,Ready-to-move,,,
Mantri Centrium,By Mantri Developers Pvt Ltd. in Malleshwaram,Malleshwaram,4490 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														5.38Cr 							",,Ongoing,Possession: Dec-2020,, REGISTRATION NO. PR/KN/170731/000485
SLV Flora,By SLV Structures in Horamavu,Horamavu,1530 - 1635 sq.ft,"
								3 BHK Apartment
								Availability*: Sold out
							","
														 
														45.90L  - 49.05L 							",,Ready-to-move,,,
Prodaacon Mounika Espancia,By Prodaacon Promoters in Horamavu,Horamavu,1250 - 1455 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														38.75L  - 45.10L 							",,Ready-to-move,Possession: Dec-2015,,
Manani Meadows,By Manani Projects Pvt Ltd. in Horamavu,Horamavu,1380 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														55.20L 							",,Ready-to-move,,,
SSV Coral,By SSV Projects Pvt Ltd in Hennur Road,Hennur Road,1360 - 1390 sq.ft,"
								3 BHK Apartment
								Availability*: Sold out
							","
														 
														68L  - 69.50L 							",,Ready-to-move,,,
i1 Vasuprada Residency,By i1 Properties Pvt Ltd in Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,950 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														34.20L 							",,Ready-to-move,,,
Mango Grove Apartment,By  in Kanakapura Road,Kanakapura Road,1150 - 1173 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Narayan Sudha Sadan Apartments,By Narayan Enterprises in Malleshwaram,Malleshwaram, sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Narayan Margosa Apartments,By Narayan Enterprises in Malleshwaram,Malleshwaram,1750 - 1800 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.35Cr  - 1.39Cr 							",,Ready-to-move,,,
Radiant Elitaire,By Radiant Structures Private Limited in JP Nagar,JP Nagar,1265 - 1475 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														53.13L  - 61.95L 							",,Ongoing,Possession: Dec-2017,, REGISTRATION NO. PR/KN/170731/000773
Glacier Block,By  in JP Nagar,JP Nagar,980 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														55L 							",,Ready-to-move,,,
Shravan Paradise,By  in JP Nagar,JP Nagar,1130 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														34L 							",,Ready-to-move,,,
Adiga  Vishwothama ,By Adiga Constructions Private Limited in JP Nagar,JP Nagar,1400 - 1500 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														66.15L  - 70.87L 							",,Ready-to-move,,,
Maya Indraprastha,By Maya Ventures Private Limited in JP Nagar,JP Nagar,3150 - 3350 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														2.62Cr  - 2.78Cr 							",,Ready-to-move,,,
Dreamz Sagar Residency,By Dreamz Infra India Pvt Ltd in JP Nagar,JP Nagar, sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
A Peace Le Grand Park View,By A Peace Projects LLP in Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,1426 - 1686 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														47.76L  - 55.63L 							",,Ready-to-move,,,
Chetan Enclave,By  in Raja Rajeshwari Nagar,Raja Rajeshwari Nagar, sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Subhiksha Apartment,By  in Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Krishna Global Villaments,By  in Raja Rajeshwari Nagar,Raja Rajeshwari Nagar, sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
VDB Nusa Dua Chromatic,By Value Designbuild Pvt. Ltd. in Whitefield,Whitefield,3240 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														2.26Cr 							",,Upcoming,Possession: Dec-2015,,
Chaithanya Armadale,By Chaithanya Projects Pvt Ltd in Whitefield,Whitefield, sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Saroj Fantasy,By Saroj Group in Whitefield,Whitefield,1569 - 1700 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														67.07L  - 72.67L 							",,Ready-to-move,,,
Sowparnika Sanvi,By Sowparnika Projects & Infrastructure Pvt Ltd in Whitefield,Whitefield,1377 - 1530 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														49.57L  - 55.08L 							",,Ready-to-move,,,
Vishnu Priya Parimala Elite,By Vishnu Priya Group Of Builders And Developers in Whitefield,Whitefield,1350 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														58.72L 							",,Ready-to-move,,,
Gopalan Atlantis,By Gopalan Enterprises in Whitefield,Whitefield,1720 - 1755 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														98.38L  - 1Cr 							",,Ready-to-move,,,
